gene	logFC	FDR	gExp_up_in_female	V7
ENSRNOT00000076111.2	6.054	0.017	FALSE	Pappa
ENSRNOT00000076159.1	6.507	0.004	FALSE	Rttn
ENSRNOT00000076538.1	-4.732	0	TRUE	LOC680227
ENSRNOT00000076618.2	-1.941	0.006	TRUE	Slfn13
ENSRNOT00000076699.2	-5.519	0.04	TRUE	Yipf6
ENSRNOT00000076710.2	-2.021	0	TRUE	Mef2c
ENSRNOT00000076784.1	4.236	0.036	FALSE	Rn60_6_0863.2
ENSRNOT00000076895.1	-6.645	0.003	TRUE	LOC100912375
ENSRNOT00000077175.1	1.183	0.033	FALSE	Asic1
ENSRNOT00000077306.1	1.219	0	FALSE	AABR07015057.1
ENSRNOT00000077325.1	-0.844	0.037	TRUE	Setdb1
ENSRNOT00000077579.1	6.843	0.002	FALSE	Acly
ENSRNOT00000077606.1	-0.565	0.03	TRUE	Aqp4
ENSRNOT00000078034.1	2.561	0	FALSE	Ahctf1
ENSRNOT00000078210.1	1.572	0	FALSE	Iqsec2
ENSRNOT00000078317.1	-0.615	0	TRUE	Arpc2
ENSRNOT00000078402.1	-5.617	0.033	TRUE	Pcp4l1
ENSRNOT00000078583.1	7.061	0.001	FALSE	Nrcam
ENSRNOT00000078616.1	6.782	0.003	FALSE	Caprin1
ENSRNOT00000078928.1	-6.196	0.01	TRUE	Ppara
ENSRNOT00000079005.1	1.006	0	FALSE	AABR07015057.1
ENSRNOT00000079011.1	6.794	0.003	FALSE	Atf1
ENSRNOT00000079225.1	-7.044	0.001	TRUE	Akap3
ENSRNOT00000079332.1	8.556	0	FALSE	Irf4
ENSRNOT00000079417.1	-6.069	0.013	TRUE	Elf1
ENSRNOT00000079515.1	-0.52	0.05	TRUE	Ralgapb
ENSRNOT00000079598.1	5.017	0.003	FALSE	Nxpe3
ENSRNOT00000079688.1	-5.79	0.024	TRUE	Epb41l2
ENSRNOT00000079707.1	1.159	0.012	FALSE	Nucks1
ENSRNOT00000079916.1	1.154	0	FALSE	AABR07015080.2
ENSRNOT00000080331.1	1.18	0.001	FALSE	Iqsec2
ENSRNOT00000080623.1	-2.467	0.014	TRUE	Cdc42bpb
ENSRNOT00000080840.1	0.895	0.037	FALSE	Arhgef1
ENSRNOT00000081014.1	-6.842	0.002	TRUE	Nars
ENSRNOT00000081017.1	-0.772	0.044	TRUE	Esr1
ENSRNOT00000081021.1	-2.05	0	TRUE	Plec
ENSRNOT00000081389.1	-5.407	0.048	TRUE	AC141028.3
ENSRNOT00000081447.1	6.66	0.001	FALSE	P2rx2
ENSRNOT00000081588.1	6.943	0.002	FALSE	Rxrb
ENSRNOT00000081986.1	-5.56	0.037	TRUE	AABR07037729.1
ENSRNOT00000082030.1	-0.929	0.012	TRUE	Taf15
ENSRNOT00000082036.1	7.827	0	FALSE	Pbx3
ENSRNOT00000082196.1	7.828	0	FALSE	Nid2
ENSRNOT00000082344.1	5.725	0.034	FALSE	AABR07024120.1
ENSRNOT00000082439.1	-1.682	0	TRUE	Rab3gap1
ENSRNOT00000082614.1	-5.388	0.05	TRUE	Ccl28
ENSRNOT00000082648.1	12.237	0	FALSE	Uty
ENSRNOT00000082699.1	0.517	0.018	FALSE	Adcy6
ENSRNOT00000082776.1	0.946	0.001	FALSE	AABR07051069.1
ENSRNOT00000082825.1	-2.237	0.048	TRUE	Vps53
ENSRNOT00000082885.1	1.154	0	FALSE	AABR07063424.1
ENSRNOT00000083593.1	-5.449	0.018	TRUE	Sphk1
ENSRNOT00000083608.1	-5.793	0.024	TRUE	Tmem63a
ENSRNOT00000083617.1	-8.367	0	TRUE	Gnl1
ENSRNOT00000083626.1	6.604	0.005	FALSE	Ak7
ENSRNOT00000083700.1	-1.833	0.015	TRUE	Slc2a1
ENSRNOT00000084058.1	2.381	0	FALSE	Suco
ENSRNOT00000084155.1	-1.817	0.046	TRUE	Lpin1
ENSRNOT00000084199.1	-5.75	0.025	TRUE	Kri1
ENSRNOT00000084320.1	1.5	0.002	FALSE	Cr1l
ENSRNOT00000084602.1	-5.763	0.022	TRUE	Map4k3
ENSRNOT00000084624.1	-6.532	0.004	TRUE	Prlr
ENSRNOT00000084771.1	-6.032	0.014	TRUE	Zfp523
ENSRNOT00000084777.1	-1.203	0.032	TRUE	Agap3
ENSRNOT00000084815.1	-6.042	0.013	TRUE	Fbln5
ENSRNOT00000084940.1	-7.432	0	TRUE	Oxr1
ENSRNOT00000085414.1	-6.687	0.001	TRUE	Ldb3
ENSRNOT00000085588.1	-6.536	0	TRUE	AABR07037536.1
ENSRNOT00000085701.1	-1.897	0	TRUE	Ehmt2
ENSRNOT00000085835.1	-5.787	0.024	TRUE	Pim3
ENSRNOT00000085875.1	1.154	0	FALSE	AABR07015078.1
ENSRNOT00000086014.1	-5.46	0.044	TRUE	Rnf128
