gene logFC FDR up_in_female V7
ENSRNOT00000051060.5 3.17139531424368 9.46471040593244e-13 FALSE Grik1
ENSRNOT00000051483.3 -0.398356852166754 0.00123759527215142 TRUE Hba1
ENSRNOT00000051497.5 6.889047406354 0.00193741131324006 FALSE Abcc3
ENSRNOT00000052270.6 1.70593935496879 2.55768088089374e-08 FALSE RT1-A2
ENSRNOT00000054976.4 -12.0166636832499 3.64741494131874e-95 TRUE Actg1
ENSRNOT00000055963.3 1.00269397643429 0.0384439035897 FALSE Slfn13
ENSRNOT00000056178.4 -6.78102607071734 0.00200498369952203 TRUE Fam227a
ENSRNOT00000057587.2 0.599085930290178 2.80492135561658e-08 FALSE Rpl30
ENSRNOT00000057623.1 -2.57811237933769 2.61237649551862e-49 TRUE LOC680227
ENSRNOT00000057724.4 -1.47077563583727 0.00335582804869082 TRUE Plch1
ENSRNOT00000057939.3 6.18716373879766 0.0126541293330569 FALSE Tet1
ENSRNOT00000058068.5 5.90681269998617 0.0238432462893035 FALSE Poln
ENSRNOT00000058727.4 2.91985674589355 0.0434312766982922 FALSE Nrg1
ENSRNOT00000061516.5 -2.89040143223626 8.89881097411657e-14 TRUE Clasp1
ENSRNOT00000061786.4 -1.13423118820556 0.0193304510380632 TRUE Eif3h
ENSRNOT00000062052.4 -4.37164799749543 0.000951163596576228 TRUE Cast
ENSRNOT00000062054.5 1.43017344589526 1.96607427134566e-05 FALSE Cast
ENSRNOT00000064331.4 -0.674878086766145 0.0384171440372942 TRUE Svil
ENSRNOT00000064395.4 -5.72213212307864 0.0271674809023809 TRUE Mga
ENSRNOT00000064613.4 5.78499795897097 0.0298824486972092 FALSE Tln2
ENSRNOT00000064785.3 6.1935477483313 0.0105227392716399 FALSE Ptprc
ENSRNOT00000065224.1 -3.5216357833352 0.0163396718291954 TRUE Thbs4
ENSRNOT00000065288.1 -0.44489127686357 0.0117865740579451 TRUE Nrip3
